last                      credit      wus  last_change       credit_change    wus_change        ppd
2021-02-01 07:17:00  28568300406  1721964  2:00:31                  948814            18   11336956
2021-02-01 05:16:29  28567351592  1721946  0:59:43                  414894             9   10004700
2021-02-01 04:16:46  28566936698  1721937  0:53:55                  481227             9   12852554
2021-02-01 03:22:51  28566455471  1721928  0:46:16                  311089             5    9682308
2021-02-01 02:36:35  28566144382  1721923  0:40:05                  251641             5    9040242
2021-02-01 01:56:30  28565892741  1721918  1:33:38                 1130423            16   17384931
2021-02-01 00:22:52  28564762318  1721902  1:26:14                  694648            11   11599842
2021-01-31 22:56:38  28564067670  1721891  0:40:02                  584035             9   21007753
2021-01-31 22:16:36  28563483635  1721882  2:09:52                  952964            23   10566746
2021-01-31 20:06:44  28562530671  1721859  1:00:04                  398429             9    9551683
2021-01-31 19:06:40  28562132242  1721850  0:39:58                  497383             6   17920721
2021-01-31 18:26:42  28561634859  1721844  0:49:58                  761987            14   21959865
2021-01-31 17:36:44  28560872872  1721830  1:10:06                  705808            11   14498766
2021-01-31 16:26:38  28560167064  1721819  2:19:59                 1935875            26   19914227
2021-01-31 14:06:39  28558231189  1721793  1:00:06                  850564            12   20379570
2021-01-31 13:06:33  28557380625  1721781  0:59:54                 1130007            14   27165443
2021-01-31 12:06:39  28556250618  1721767  1:50:10                 1645026            24   21502306
2021-01-31 10:16:29  28554605592  1721743  0:39:54                  755070             9   27250646
2021-01-31 09:36:35  28553850522  1721734  1:00:04                  721272            14   17291315
2021-01-31 08:36:31  28553129250  1721720  1:09:47                  668583            14   13796410
2021-01-31 07:26:44  28552460667  1721706  0:10:04                    6638             1     949541
2021-01-31 07:16:40  28552454029  1721705  1:59:59                 1329661            27   15958148
2021-01-31 05:16:41  28551124368  1721678  1:00:05                  855573            10   20505272
2021-01-31 04:16:36  28550268795  1721668  0:20:05                  425615             5   30517125
2021-01-31 03:56:31  28549843180  1721663  1:19:55                  580494            11   10459787
2021-01-31 02:36:36  28549262686  1721652  0:40:00                  498511             5   17946396
2021-01-31 01:56:36  28548764175  1721647  1:19:54                  655084            10   11806269
2021-01-31 00:36:42  28548109091  1721637  1:50:11                  653598            14    8541955
2021-01-30 22:46:31  28547455493  1721623  0:29:59                  386524             7   18563465
