last                      credit      wus  last_change        credit_change    wus_change        ppd
2021-02-20 22:26:36  18248943470  1373950  0:16:51                   273311            11   23357141
2021-02-20 22:09:45  18248670159  1373939  2:03:08                  2796734            69   32706797
2021-02-20 20:06:37  18245873425  1373870  2:00:00                  2553669            60   30644028
2021-02-20 18:06:37  18243319756  1373810  0:50:07                   934199            23   26842299
2021-02-20 17:16:30  18242385557  1373787  1:40:02                  3457983            56   49778362
2021-02-20 15:36:28  18238927574  1373731  1:29:57                  2166596            54   34684805
2021-02-20 14:06:31  18236760978  1373677  1:49:57                  3173725            48   41565839
2021-02-20 12:16:34  18233587253  1373629  0:30:05                   859019            23   41118693
2021-02-20 11:46:29  18232728234  1373606  1:37:02                  2717569            57   40329433
2021-02-20 10:09:27  18230010665  1373549  0:53:03                  1328635            27   36064738
2021-02-20 09:16:24  18228682030  1373522  0:59:55                  1837597            30   44163666
2021-02-20 08:16:29  18226844433  1373492  2:10:00                  4073186            83   45118368
2021-02-20 06:06:29  18222771247  1373409  0:59:55                  1320160            27   31727906
2021-02-20 05:06:34  18221451087  1373382  0:50:06                  1782686            29   51238879
2021-02-20 04:16:28  18219668401  1373353  1:59:57                  3578465            64   42959479
2021-02-20 02:16:31  18216089936  1373289  0:40:08                  1289633            21   46272546
2021-02-20 01:36:23  18214800303  1373268  0:40:00                   793969            26   28582884
2021-02-20 00:56:23  18214006334  1373242  0:29:51                  1302546            13   62836389
2021-02-20 00:26:32  18212703788  1373229  2:17:22                  3858649            68   40449802
2021-02-19 22:09:10  18208845139  1373161  0:32:36                   881428            13   38934242
2021-02-19 21:36:34  18207963711  1373148  0:40:01                   910646            19   32769601
